track_id,main_genre
TRSZBVQ128F425D5B6,Rock
TRRJNCE128F9319E52,RnB
TRIZJQX128F1472163,Folk
TRBXBWB128F92F9F2B,Rap
TRFBZFH12903CBDABB,Electronic
TRICGTU128F1495593,Rock
TRRVWDU128F92E22B8,Rock
TRRZSST128F92D2F9B,Rock
TRAHZBM128EF34B6B5,Rock
TRATXIS128F92D9676,Jazz
TRLPKDE128F1468DF1,World
TRUPKTO128F42392D4,Metal
TRQUYLG128F932197A,Rock
TRLSDFF128F42902C9,Rock
TRRWPRJ128F4225CC0,Jazz
TRRJTSU128F92DCF16,Blues
TRHGMJK128F92D806F,Metal
TRUXVYY128F428ADB3,Rock
TRHFJUY128F145D08F,Rock
TRMRQKL128F93471DB,Rock
TRAHOSP128F4260E9B,Rock
TRBLVQO128F1463656,Rock
TRMGHQA128F9326A85,Rock
TRCPUSZ128F92F8FEB,Rock
TRAVCNW128F4288396,Country
TRZYYVV128F930EDF8,RnB
TRSQEGW128F9326192,Rock
TRNLXJM128F4289801,Rock
TRLARFW12903CF5E9E,Blues
TRZWQTI128E079829E,Rap
TRVPFMG12903CDD357,Metal
TRRJNVE128F92E484D,Rock
TRWXPET128E078DFF0,Rock
TRABULB128F42840B1,Rock
TRWSCOV128F92D7A1A,World
TRUQCMY128F92D7397,Country
TRBFMQW128F42758F0,RnB
TRJSXQQ128F429B0A8,Rock
TRNREQP128F425E4FB,Rock
TRSMLGG12903CFB077,Rock
TRYSBCU128F42621DD,Rock
TRGKVMG128E0798B36,Pop
TRMTZAF128F933DC03,Reggae
TRAHVFE128F932BE0C,RnB
TRGXDLD128F42B9CCA,Electronic
TRXMPOU128F425802C,Rock
TRHDIQD128F93246E1,Latin
TRNDVQU128F92E7430,Rock
TRSULUT128F145EB71,Rock
TRPHJQF128F92D4709,Rock
TRQQRFN128F425068E,Rap
TRKQWJX128F930E7F3,Rock
TRIZAAW12903CDEABC,Rock
TRUWGPY12903CDE1E1,Rock
TRPTUXM128F935E2C4,RnB
TRXUEGA128F4241718,Reggae
TRVPQDM128F4252905,Rock
TRQTLQZ128E0783029,Rock
TRHXNCC12903CB64E8,Punk
TRNNTRA128F1487D2B,Rock
TRVAVGR128F92DDA52,Pop
TRQZZMR128F42AA3AC,Electronic
TROYMDQ12903CF1530,Metal
TRNQCYR128F92CF937,Rock
TRMGIBB128F92DEF47,Jazz
TRWLKLI128F42307B4,RnB
TRXYMSH12903CF4662,Metal
TRDGKMZ128F425B092,Country
TRWTYWF128F4265792,Electronic
TRKZHEM128F145E342,Rock
TRPJZKI128F4276DF8,Rock
TRXCLIG12903CF5E45,Rock
TREYRCV128F1482062,RnB
TRTRRUF12903D0AB58,Metal
TRVXNJM128F4249E1F,Rap
TRBYKSC128F4274F00,Metal
TRFGACT128F92C3F82,Rock
TRZWRQZ128F428B605,Folk
TRZTESQ128F92F2E52,Rock
TRFNZRE12903CD4CD5,World
TRADVIV12903CFE357,Rock
TRFNRTE12903CE6D40,Jazz
TRIABEX128F92CFEFB,Pop
TRAPJOJ12903CCC3AF,Electronic
TRSTKZH128F422F012,Rock
TRRDVQP12903CD3771,Electronic
TRKPMDO128E0786504,Jazz
TRJCYKR128F1462F78,Country
TRDXKNJ128E0789913,Rock
TRZHBVL12903CBE71A,Metal
TRYUJGL128F1499985,Electronic
TRYYKYZ128F42559AF,Rock
TRYJLXW128F1481986,Electronic
TROPYTO128F4262F67,RnB
TRFAOXT12903CFA054,Electronic
TRXBULI128F4292380,Rock
TRJOVZS12903CC0030,Electronic
TRCHZZY128F14A467C,Pop
TRQFZWZ128F1460B71,Rap
TRANUYN128F42678FA,Rock
TRBTCYJ128F92F9586,Electronic
TREASST128F92FC4EE,Rock
TRFROET128F148CF1F,Country
TRCIMVM128F14ADBC0,Rock
TRGLJSI12903CDD7EC,Electronic
TRNBIHR128F426E425,Rap
TRRBFHA128F148C5E2,Country
TRFLVFP128F1454BA6,Reggae
TRHYHNU128F932E63A,Rock
TRPQCHM128F4243713,Rock
